airport,pagerank
MCW,3.249402313799527E-4
JBR,3.2485166001966373E-4
MWA,3.2485166001966373E-4
VGT,3.245107831798493E-4
QMA,3.2089424289963975E-4
HOP,3.205587317715766E-4
PAO,3.1341172471589085E-4
KFP,3.102489947408389E-4
TX1,3.0919302437557516E-4
HTO,3.066298342541436E-4
RQV,3.066298342541436E-4
CZF,2.9838809162192426E-4
NCN,2.953630168074779E-4
GUF,2.902367819791552E-4
A20,2.8967947311136344E-4
FVQ,2.8967947311136344E-4
TEK,2.8967947311136344E-4
NOT,2.881812301759139E-4
HTV,2.8363728360869317E-4
SC6,2.8131546953114994E-4
ULS,2.8131546953114994E-4
MNZ,2.8131546953114994E-4
MS5,2.8131546953114994E-4
OWD,2.7542095422703546E-4
GUP,2.7407092740739227E-4
OSU,2.6930928309758104E-4
RBW,2.6930928309758104E-4
GDV,2.6845404574563656E-4
SDY,2.6845404574563656E-4
HVR,2.6845404574563656E-4
OLF,2.6845404574563656E-4
IPT,2.6755270576062984E-4
ASN,2.655372516106925E-4
MIV,2.627207506346221E-4
OCF,2.627207506346221E-4
CGS,2.627207506346221E-4
VA5,2.627207506346221E-4
LKP,2.627207506346221E-4
JHW,2.627207506346221E-4
MA5,2.627207506346221E-4
JRA,2.627207506346221E-4
FDK,2.627207506346221E-4
BRY,2.6135856023039533E-4
GSH,2.6135856023039533E-4
UDD,2.606787275520659E-4
EFK,2.605463377219113E-4
SFF,2.583781818453038E-4
RBN,2.576711951875105E-4
GON,2.5627248965942427E-4
2NC,2.5627248965942427E-4
AUO,2.5547754653254334E-4
OCA,2.5547754653254334E-4
SGH,2.5449194879675397E-4
DTO,2.5437790933658614E-4
PTW,2.5399987272801104E-4
BPT,2.534587915600585E-4
PWA,2.527982382256416E-4
HNM,2.526849084901622E-4
MUE,2.526849084901622E-4
LRU,2.5260032477636716E-4
CGE,2.524519864477543E-4
MWL,2.523353993698172E-4
BWD,2.523353993698172E-4
STJ,2.5185819651058286E-4
BOK,2.5159356746768476E-4
MEO,2.5154781436682676E-4
ALW,2.5146019779809426E-4
TOA,2.5138051041610136E-4
HIO,2.5083759473725387E-4
DLS,2.5078148227733764E-4
AST,2.5078148227733764E-4
VLD,2.496793847824057E-4
AHN,2.496793847824057E-4
BQK,2.496793847824057E-4
PVC,2.495131648528982E-4
AUG,2.495131648528982E-4
RKD,2.495131648528982E-4
PSF,2.494433557266209E-4
ENW,2.494433557266209E-4
CXO,2.494433557266209E-4
CBM,2.494422706561748E-4
EKO,2.4897713485554746E-4
HVN,2.4882050415352727E-4
VIS,2.4880424459627014E-4
SNS,2.4880424459627014E-4
SOP,2.4851710616283836E-4
MEI,2.4820246609325394E-4
PIB,2.4820246609325394E-4
MCC,2.4820246609325394E-4
LBL,2.48160641624968E-4
RIW,2.48160641624968E-4
AIA,2.48160641624968E-4
HYS,2.48160641624968E-4
PUB,2.48160641624968E-4
BVY,2.4809389705971005E-4
OGS,2.4809389705971005E-4
CGI,2.4792927601392946E-4
MKG,2.4792927601392946E-4
TBN,2.4792927601392946E-4
PAH,2.4792927601392946E-4
MBL,2.4792927601392946E-4
OSC,2.4792927601392946E-4
DEC,2.4792927601392946E-4
STP,2.4764540572362506E-4
FWS,2.4764540572362506E-4
ONP,2.475733033625333E-4
DYS,2.4756487411723484E-4
RDG,2.4747625760246133E-4
SPF,2.4731617638670833E-4
MCK,2.4726194325545587E-4
FL8,2.4703305625022845E-4
VNC,2.469818985009189E-4
MOD,2.468382522582249E-4
VQQ,2.4664767304827007E-4
FPR,2.466316197673968E-4
HII,2.4659035083452157E-4
CEU,2.4579249291673634E-4
BLM,2.4579249291673634E-4
MGY,2.4579249291673634E-4
GA7,2.4579249291673634E-4
FDY,2.457116209317602E-4
